//	Instance:	Sha03.xls
3 0
//	Class:	a
//	10	---	number	of	customers	(depot	not	included)
//	3	---	number	of	vehicles	(lower	bound)
//	17	---	number	of	box	types
//	73	---	number	of	items
10 3 17 73
//	Capacity (kg)	-	height	-	width	-	length	of	vehicles	(cm)
//	2500	175	180	415
2500 175 180 415
//	Node - number of box types - h - w - l - number of box - fragility for each item - weight
0	0
1	1
69	90	128	1	0	1
2	1
73	63	83	28	0	1
3	1
120	60	145	1	0	1
4	1
142	110	118	3	0	1
5	7
14	22	31	1	1	1
16	31	67	1	1	1
20	36	61	9	0	1
21	38	53	4	0	1
31	47	59	1	1	1
69	90	128	2	0	1
9	20	31	2	0	1
6	1
27	43	62	1	1	1
7	1
69	90	128	4	0	1
8	2
110	70	128	1	0	1
14	43	62	3	0	1
9	1
80	111	147	1	0	1
10	5
14	43	62	3	0	1
27	43	62	2	0	1
28	28	54	2	0	1
49	90	128	1	0	1
70	72	112	2	0	1
// node 1 --- node 2 --- distance
0	1	39.1
0	2	37.7
0	3	48.2
0	4	44.8
0	5	2.9
0	6	41.2
0	7	48.8
0	8	38
0	9	40.6
0	10	31.5
1	2	9.2
1	3	20.7
1	4	34
1	5	36.7
1	6	39
1	7	40.9
1	8	45.8
1	9	48.3
1	10	32.6
2	3	28.4
2	4	41.3
2	5	35.3
2	6	46.3
2	7	48.8
2	8	58.4
2	9	60.9
2	10	38.7
3	4	19.9
3	5	40.5
3	6	24.7
3	7	26.6
3	8	31.5
3	9	34
3	10	26.8
4	5	40.4
4	6	9.8
4	7	10
4	8	16.5
4	9	24.1
4	10	16.7
5	6	36.6
5	7	44.3
5	8	33.4
5	9	36
5	10	26.9
6	7	4.6
6	8	8.3
6	9	14.5
6	10	12.6
7	8	10.9
7	9	18
7	10	16.5
8	9	6.6
8	10	20.2
9	10	18.9
