//	Instance:	Sha04.xls
4 0
//	Class:	a
//	12	---	number	of	customers	(depot	not	included)
//	3	---	number	of	vehicles	(lower	bound)
//	33	---	number	of	box	types
//	204	---	number	of	items
12 3 33 204
//	Capacity (kg)	-	height	-	width	-	length	of	vehicles	(cm)
//	15000	240	240	860
15000 240 240 860
//	Node - number of box types - h - w - l - number of box - fragility for each item - weight
0	0
1	2
150	65	122	2	0	1
76	96	136	1	0	1
2	4
110	60	145	1	0	1
114	58	145	1	0	1
21	28	42	5	0	1
69	90	128	4	0	1
3	1
119	60	145	32	0	1
4	1
150	101	114	1	0	1
5	7
105	70	128	4	0	1
110	70	128	1	0	1
110	70	129	4	0	1
32	80	110	1	0	1
45	56	56	1	1	1
69	90	128	1	0	1
76	80	126	1	0	1
6	4
10	26	22	1	1	1
14	31	43	4	0	1
21	61	32	2	0	1
29	28	26	2	0	1
7	8
110	70	128	2	0	1
27	43	62	1	1	1
68	115	122	18	0	1
68	90	128	14	0	1
69	115	122	4	0	1
69	116	128	16	0	1
69	90	128	7	0	1
70	90	128	1	0	1
8	3
17	38	52	4	0	1
9	21	32	3	0	1
9	26	36	1	0	1
9	1
155	100	160	1	0	1
10	1
68	90	120	1	0	1
11	2
107	60	145	2	0	1
115	60	145	1	0	1
12	3
16	36	47	55	0	1
20	29	34	1	1	1
69	90	128	3	0	1
// node 1 --- node 2 --- distance
0	1	39.7
0	2	30.1
0	3	12
0	4	37.3
0	5	44.6
0	6	44.3
0	7	50.5
0	8	7.8
0	9	57.7
0	10	45.1
0	11	37.5
0	12	36.4
1	2	16.8
1	3	31.1
1	4	21.2
1	5	13.9
1	6	24.4
1	7	14.3
1	8	33
1	9	21.5
1	10	6.4
1	11	3
1	12	5.3
2	3	27.5
2	4	10.9
2	5	12.4
2	6	14.4
2	7	27.4
2	8	23.7
2	9	34.6
2	10	22
2	11	14.4
2	12	13.3
3	4	35.1
3	5	38.1
3	6	42.2
3	7	38.4
3	8	7
3	9	52.7
3	10	33
3	11	30
3	12	29.6
4	5	11.3
4	6	6
4	7	29
4	8	31.3
4	9	29
4	10	23.7
4	11	21.8
4	12	17
5	6	9.8
5	7	22.4
5	8	39.2
5	9	20.9
5	10	17
5	11	12.6
5	12	10.2
6	7	32.1
6	8	38.4
6	9	28.1
6	10	25.8
6	11	21.4
6	12	19
7	8	32.4
7	9	21.8
7	10	6.6
7	11	14.6
7	12	4.9
8	9	51.7
8	10	39.2
8	11	31.5
8	12	30.5
9	10	15.3
9	11	21.4
9	12	22.8
10	11	8.1
10	12	9.5
11	12	3.4
