,Unnamed: 0,发车号,if_loaded,SKU长度,SKU宽度,SKU高度,load_parameter,车辆总容积(m3)
0,0,0,1,53,21,25,0.8800000000000002,45000
1,1,1,0,40,21,22,0.8500000000000002,45000
2,2,1,0,51,16,17,0.8500000000000002,45000
3,3,2,0,46,10,21,0.9800000000000004,45000
4,4,2,0,50,21,17,0.9800000000000004,45000
5,5,2,0,39,17,25,0.9800000000000004,45000
6,6,3,0,42,18,16,0.7100000000000001,45000
7,7,3,0,42,18,16,0.7100000000000001,45000
8,8,4,1,30,18,27,0.9200000000000004,45000
9,9,4,1,30,18,27,0.9200000000000004,45000
10,10,5,0,45,18,26,1.0000000000000004,45000
11,11,5,0,36,16,18,1.0000000000000004,45000
12,12,5,0,36,16,18,1.0000000000000004,45000
13,13,6,1,50,18,27,0.8100000000000002,45000
14,14,7,0,39,17,17,0.9300000000000004,45000
15,15,7,0,39,17,17,0.9300000000000004,45000
16,16,7,0,38,12,16,0.9300000000000004,45000
17,17,7,0,38,12,16,0.9300000000000004,45000
18,18,8,0,45,11,15,0.8400000000000002,45000
19,19,8,0,45,11,15,0.8400000000000002,45000
20,20,8,0,53,16,23,0.8400000000000002,45000
21,21,9,0,40,13,21,0.7300000000000001,45000
22,22,9,0,34,16,18,0.7300000000000001,45000
23,23,10,1,31,22,14,0.68,45000
24,24,10,1,31,22,14,0.68,45000
25,25,10,1,24,12,27,0.68,45000
26,26,11,0,34,13,20,0.66,45000
27,27,11,0,34,13,20,0.66,45000
28,28,11,0,34,13,20,0.66,45000
29,29,12,1,26,22,19,0.66,45000
30,30,12,1,26,22,19,0.66,45000
31,31,13,1,38,22,18,0.7800000000000001,45000
32,32,13,1,25,17,14,0.7800000000000001,45000
33,33,13,1,49,12,14,0.7800000000000001,45000
34,34,14,0,39,19,24,0.9400000000000004,45000
35,35,14,0,39,19,24,0.9400000000000004,45000
36,36,15,0,32,17,25,0.8800000000000002,45000
37,37,15,0,32,17,25,0.8800000000000002,45000
38,38,16,0,52,11,13,0.8900000000000002,45000
39,39,16,0,46,12,21,0.8900000000000002,45000
40,40,16,0,46,12,21,0.8900000000000002,45000
41,41,16,0,52,11,13,0.8900000000000002,45000
42,42,17,0,31,16,15,0.9000000000000002,45000
43,43,17,0,31,16,15,0.9000000000000002,45000
44,44,17,0,45,18,26,0.9000000000000002,45000
45,45,18,0,39,15,19,0.7700000000000001,45000
46,46,18,0,34,15,26,0.7700000000000001,45000
47,47,19,1,53,18,21,0.64,45000
48,48,20,1,37,20,26,0.7700000000000001,45000
49,49,21,0,47,12,15,0.7900000000000001,45000
50,50,21,0,43,14,26,0.7900000000000001,45000
51,51,22,1,24,17,25,0.63,45000
52,52,22,1,24,17,25,0.63,45000
53,53,23,0,35,20,24,0.66,45000
54,54,23,0,41,13,23,0.66,45000
55,55,24,1,37,12,27,0.8200000000000002,45000
56,56,24,1,29,13,19,0.8200000000000002,45000
57,57,24,1,37,12,27,0.8200000000000002,45000
58,58,25,0,34,21,20,0.7000000000000001,45000
59,59,25,0,34,21,20,0.7000000000000001,45000
60,60,26,1,45,18,16,0.6900000000000001,45000
61,61,27,0,37,16,15,0.9400000000000004,45000
62,62,27,0,37,16,15,0.9400000000000004,45000
63,63,27,0,37,16,15,0.9400000000000004,45000
64,64,27,0,25,16,18,0.9400000000000004,45000
65,65,27,0,25,16,18,0.9400000000000004,45000
66,66,28,0,47,20,12,0.65,45000
67,67,28,0,46,16,12,0.65,45000
68,68,28,0,46,16,12,0.65,45000
69,69,29,0,26,15,17,0.8300000000000002,45000
70,70,29,0,26,15,17,0.8300000000000002,45000
71,71,29,0,25,11,18,0.8300000000000002,45000
72,72,29,0,25,11,18,0.8300000000000002,45000
73,73,29,0,25,11,18,0.8300000000000002,45000
74,74,29,0,25,11,18,0.8300000000000002,45000
75,75,30,0,36,19,17,0.8700000000000002,45000
76,76,30,0,36,19,17,0.8700000000000002,45000
77,77,31,1,45,22,26,0.8300000000000002,45000
78,78,32,1,35,17,24,0.6,45000
79,79,33,1,43,19,15,0.6,45000
80,80,34,0,39,15,15,0.7200000000000001,45000
81,81,34,0,39,15,15,0.7200000000000001,45000
82,82,34,0,39,15,15,0.7200000000000001,45000
