,发车号,if_loaded,SKU长度,SKU宽度,SKU高度,load_parameter,车辆总容积(m3)
0,0,0,19,11,18,0.8300000000000002,45000
1,0,0,30,14,14,0.8300000000000002,45000
2,0,0,24,12,16,0.8300000000000002,45000
3,0,0,13,14,11,0.8300000000000002,45000
4,0,0,26,10,6,0.8300000000000002,45000
5,0,0,13,14,11,0.8300000000000002,45000
6,0,0,30,14,14,0.8300000000000002,45000
7,0,0,26,10,6,0.8300000000000002,45000
8,0,0,12,13,12,0.8300000000000002,45000
9,0,0,19,11,18,0.8300000000000002,45000
10,0,0,13,12,15,0.8300000000000002,45000
11,1,0,31,15,13,0.8500000000000002,45000
12,1,0,24,7,18,0.8500000000000002,45000
13,1,0,16,5,13,0.8500000000000002,45000
14,1,0,25,11,14,0.8500000000000002,45000
15,1,0,25,11,14,0.8500000000000002,45000
16,1,0,35,11,10,0.8500000000000002,45000
17,1,0,19,10,12,0.8500000000000002,45000
18,1,0,17,10,18,0.8500000000000002,45000
19,1,0,25,11,14,0.8500000000000002,45000
20,1,0,25,6,10,0.8500000000000002,45000
21,1,0,36,12,6,0.8500000000000002,45000
22,1,0,27,9,7,0.8500000000000002,45000
23,2,0,34,12,16,0.61,45000
24,2,0,18,15,14,0.61,45000
25,2,0,20,13,6,0.61,45000
26,2,0,12,8,15,0.61,45000
27,2,0,18,15,14,0.61,45000
28,2,0,33,6,10,0.61,45000
29,2,0,23,5,16,0.61,45000
30,2,0,18,15,14,0.61,45000
31,2,0,26,9,11,0.61,45000
32,3,0,16,9,14,0.8000000000000002,45000
33,3,0,14,10,9,0.8000000000000002,45000
34,3,0,23,7,6,0.8000000000000002,45000
35,3,0,33,5,18,0.8000000000000002,45000
36,3,0,19,7,18,0.8000000000000002,45000
37,3,0,35,7,17,0.8000000000000002,45000
38,3,0,28,9,6,0.8000000000000002,45000
39,3,0,29,13,7,0.8000000000000002,45000
40,3,0,34,9,13,0.8000000000000002,45000
41,3,0,34,9,13,0.8000000000000002,45000
42,3,0,16,9,14,0.8000000000000002,45000
43,3,0,34,9,13,0.8000000000000002,45000
44,4,0,23,11,12,0.9900000000000003,45000
45,4,0,31,9,7,0.9900000000000003,45000
46,4,0,26,15,12,0.9900000000000003,45000
47,4,0,18,13,6,0.9900000000000003,45000
48,4,0,29,15,15,0.9900000000000003,45000
49,4,0,23,6,10,0.9900000000000003,45000
50,4,0,20,10,15,0.9900000000000003,45000
51,4,0,29,15,15,0.9900000000000003,45000
52,4,0,23,11,12,0.9900000000000003,45000
53,4,0,18,15,11,0.9900000000000003,45000
54,4,0,23,6,10,0.9900000000000003,45000
55,4,0,31,9,7,0.9900000000000003,45000
56,4,0,33,5,8,0.9900000000000003,45000
57,4,0,18,13,6,0.9900000000000003,45000
58,5,0,22,14,15,0.7800000000000001,45000
59,5,0,36,7,18,0.7800000000000001,45000
60,5,0,21,6,11,0.7800000000000001,45000
61,5,0,33,12,9,0.7800000000000001,45000
62,5,0,30,12,18,0.7800000000000001,45000
63,5,0,33,12,9,0.7800000000000001,45000
64,5,0,29,12,7,0.7800000000000001,45000
65,5,0,13,13,17,0.7800000000000001,45000
66,5,0,13,7,8,0.7800000000000001,45000
67,5,0,31,5,6,0.7800000000000001,45000
68,5,0,23,12,12,0.7800000000000001,45000
69,6,0,34,5,11,0.8900000000000002,45000
70,6,0,32,6,10,0.8900000000000002,45000
71,6,0,23,10,13,0.8900000000000002,45000
72,6,0,23,10,13,0.8900000000000002,45000
73,6,0,34,15,11,0.8900000000000002,45000
74,6,0,32,6,10,0.8900000000000002,45000
75,6,0,23,10,13,0.8900000000000002,45000
76,6,0,23,10,13,0.8900000000000002,45000
77,6,0,36,9,13,0.8900000000000002,45000
78,6,0,24,8,14,0.8900000000000002,45000
79,6,0,25,5,8,0.8900000000000002,45000
80,6,0,20,14,17,0.8900000000000002,45000
81,6,0,23,10,13,0.8900000000000002,45000
82,6,0,25,5,8,0.8900000000000002,45000
83,7,0,31,10,7,0.6,45000
84,7,0,31,10,7,0.6,45000
85,7,0,23,6,14,0.6,45000
86,7,0,23,6,14,0.6,45000
87,7,0,14,7,13,0.6,45000
88,7,0,33,11,18,0.6,45000
89,7,0,33,11,18,0.6,45000
90,7,0,24,13,11,0.6,45000
91,8,0,16,14,14,0.8200000000000002,45000
92,8,0,35,7,7,0.8200000000000002,45000
93,8,0,33,5,13,0.8200000000000002,45000
94,8,0,26,8,7,0.8200000000000002,45000
95,8,0,19,8,17,0.8200000000000002,45000
96,8,0,18,8,10,0.8200000000000002,45000
97,8,0,26,8,7,0.8200000000000002,45000
98,8,0,33,5,13,0.8200000000000002,45000
99,8,0,26,5,18,0.8200000000000002,45000
100,8,0,13,14,15,0.8200000000000002,45000
101,8,0,19,8,17,0.8200000000000002,45000
102,8,0,13,14,15,0.8200000000000002,45000
103,8,0,19,8,17,0.8200000000000002,45000
104,8,0,35,7,7,0.8200000000000002,45000
105,8,0,18,13,18,0.8200000000000002,45000
106,8,0,31,5,11,0.8200000000000002,45000
107,9,0,13,12,16,0.6,45000
108,9,0,24,15,18,0.6,45000
109,9,0,13,12,16,0.6,45000
110,9,0,31,6,18,0.6,45000
111,9,0,12,11,10,0.6,45000
112,9,0,31,6,18,0.6,45000
113,9,0,26,11,13,0.6,45000
114,9,0,19,8,13,0.6,45000
115,10,0,27,9,15,0.8900000000000002,45000
116,10,0,22,7,15,0.8900000000000002,45000
117,10,0,12,14,7,0.8900000000000002,45000
118,10,0,26,13,18,0.8900000000000002,45000
119,10,0,27,9,15,0.8900000000000002,45000
120,10,0,14,14,11,0.8900000000000002,45000
121,10,0,14,14,11,0.8900000000000002,45000
122,10,0,17,8,11,0.8900000000000002,45000
123,10,0,26,13,18,0.8900000000000002,45000
124,10,0,15,6,12,0.8900000000000002,45000
125,10,0,26,12,6,0.8900000000000002,45000
126,10,0,12,14,7,0.8900000000000002,45000
127,10,0,14,14,11,0.8900000000000002,45000
128,10,0,15,6,12,0.8900000000000002,45000
129,10,0,15,13,8,0.8900000000000002,45000
130,10,0,28,5,10,0.8900000000000002,45000
131,11,0,12,8,14,0.7200000000000001,45000
132,11,0,12,8,14,0.7200000000000001,45000
133,11,0,13,8,18,0.7200000000000001,45000
134,11,0,12,8,14,0.7200000000000001,45000
135,11,0,31,7,11,0.7200000000000001,45000
136,11,0,31,7,11,0.7200000000000001,45000
137,11,0,12,8,14,0.7200000000000001,45000
138,11,0,36,7,15,0.7200000000000001,45000
139,11,0,36,7,15,0.7200000000000001,45000
140,11,0,31,7,11,0.7200000000000001,45000
141,11,0,13,8,18,0.7200000000000001,45000
142,11,0,31,7,11,0.7200000000000001,45000
143,11,0,22,13,17,0.7200000000000001,45000
144,12,0,27,13,16,0.7100000000000001,45000
145,12,0,18,10,14,0.7100000000000001,45000
146,12,0,26,7,9,0.7100000000000001,45000
147,12,0,35,6,12,0.7100000000000001,45000
148,12,0,32,6,8,0.7100000000000001,45000
149,12,0,35,6,12,0.7100000000000001,45000
150,12,0,21,8,6,0.7100000000000001,45000
151,12,0,26,7,9,0.7100000000000001,45000
152,12,0,35,6,12,0.7100000000000001,45000
153,12,0,21,8,6,0.7100000000000001,45000
154,12,0,21,8,6,0.7100000000000001,45000
155,12,0,27,13,16,0.7100000000000001,45000
156,12,0,35,6,12,0.7100000000000001,45000
157,13,0,12,11,7,0.8000000000000002,45000
158,13,0,20,6,14,0.8000000000000002,45000
159,13,0,19,13,10,0.8000000000000002,45000
160,13,0,12,11,7,0.8000000000000002,45000
161,13,0,27,10,14,0.8000000000000002,45000
162,13,0,31,14,6,0.8000000000000002,45000
163,13,0,20,11,11,0.8000000000000002,45000
164,13,0,20,6,14,0.8000000000000002,45000
165,13,0,20,6,14,0.8000000000000002,45000
166,13,0,34,12,16,0.8000000000000002,45000
167,13,0,26,8,17,0.8000000000000002,45000
168,13,0,20,6,14,0.8000000000000002,45000
169,13,0,36,5,11,0.8000000000000002,45000
170,14,0,36,6,10,0.9400000000000003,45000
171,14,0,24,9,13,0.9400000000000003,45000
172,14,0,27,5,16,0.9400000000000003,45000
173,14,0,36,6,10,0.9400000000000003,45000
174,14,0,19,6,8,0.9400000000000003,45000
175,14,0,20,10,9,0.9400000000000003,45000
176,14,0,19,5,6,0.9400000000000003,45000
177,14,0,27,5,16,0.9400000000000003,45000
178,14,0,24,9,13,0.9400000000000003,45000
179,14,0,33,6,18,0.9400000000000003,45000
180,14,0,23,13,8,0.9400000000000003,45000
181,14,0,20,10,9,0.9400000000000003,45000
182,14,0,33,6,18,0.9400000000000003,45000
183,14,0,28,6,6,0.9400000000000003,45000
184,14,0,19,5,6,0.9400000000000003,45000
185,14,0,27,5,16,0.9400000000000003,45000
186,14,0,36,6,10,0.9400000000000003,45000
187,14,0,19,5,6,0.9400000000000003,45000
188,14,0,25,11,9,0.9400000000000003,45000
189,14,0,23,13,8,0.9400000000000003,45000
190,14,0,19,5,6,0.9400000000000003,45000
191,15,0,17,12,15,0.68,45000
192,15,0,34,8,8,0.68,45000
193,15,0,35,12,9,0.68,45000
194,15,0,23,13,12,0.68,45000
195,15,0,18,15,7,0.68,45000
196,15,0,13,8,17,0.68,45000
197,15,0,35,12,9,0.68,45000
198,15,0,33,7,15,0.68,45000
199,15,0,23,13,12,0.68,45000
200,16,0,20,8,18,0.8700000000000002,45000
201,16,0,18,11,8,0.8700000000000002,45000
202,16,0,29,15,7,0.8700000000000002,45000
203,16,0,16,12,8,0.8700000000000002,45000
204,16,0,18,11,8,0.8700000000000002,45000
205,16,0,34,10,17,0.8700000000000002,45000
206,16,0,29,10,18,0.8700000000000002,45000
207,16,0,20,5,8,0.8700000000000002,45000
208,16,0,18,11,8,0.8700000000000002,45000
209,16,0,20,5,8,0.8700000000000002,45000
210,16,0,29,15,7,0.8700000000000002,45000
211,16,0,16,12,8,0.8700000000000002,45000
212,16,0,17,13,9,0.8700000000000002,45000
213,16,0,16,12,8,0.8700000000000002,45000
