,发车号,if_loaded,SKU长度,SKU宽度,SKU高度,load_parameter,车辆总容积(m3)
0,0,0,36,9,17,0.64,45000
1,0,0,22,13,18,0.64,45000
2,0,0,25,9,11,0.64,45000
3,0,0,29,9,17,0.64,45000
4,0,0,28,14,16,0.64,45000
5,0,0,30,7,10,0.64,45000
6,1,0,17,8,10,0.9800000000000003,45000
7,1,0,34,14,6,0.9800000000000003,45000
8,1,0,19,8,11,0.9800000000000003,45000
9,1,0,19,14,12,0.9800000000000003,45000
10,1,0,25,14,10,0.9800000000000003,45000
11,1,0,35,14,6,0.9800000000000003,45000
12,1,0,36,6,10,0.9800000000000003,45000
13,1,0,35,14,6,0.9800000000000003,45000
14,1,0,21,14,12,0.9800000000000003,45000
15,1,0,35,10,12,0.9800000000000003,45000
16,1,0,35,10,12,0.9800000000000003,45000
17,1,0,19,14,11,0.9800000000000003,45000
18,1,0,35,10,12,0.9800000000000003,45000
19,1,0,19,8,11,0.9800000000000003,45000
20,1,0,26,6,10,0.9800000000000003,45000
21,2,0,26,8,6,0.8700000000000002,45000
22,2,0,36,11,6,0.8700000000000002,45000
23,2,0,16,8,9,0.8700000000000002,45000
24,2,0,28,7,10,0.8700000000000002,45000
25,2,0,29,7,8,0.8700000000000002,45000
26,2,0,36,11,18,0.8700000000000002,45000
27,2,0,16,11,13,0.8700000000000002,45000
28,2,0,25,5,15,0.8700000000000002,45000
29,2,0,18,14,17,0.8700000000000002,45000
30,2,0,26,5,7,0.8700000000000002,45000
31,2,0,25,7,12,0.8700000000000002,45000
32,2,0,14,6,18,0.8700000000000002,45000
33,2,0,15,14,18,0.8700000000000002,45000
34,2,0,28,5,17,0.8700000000000002,45000
35,2,0,20,9,10,0.8700000000000002,45000
36,2,0,35,8,9,0.8700000000000002,45000
37,3,0,19,14,9,0.9200000000000003,45000
38,3,0,19,14,9,0.9200000000000003,45000
39,3,0,29,6,10,0.9200000000000003,45000
40,3,0,29,11,12,0.9200000000000003,45000
41,3,0,19,14,9,0.9200000000000003,45000
42,3,0,29,6,10,0.9200000000000003,45000
43,3,0,22,13,7,0.9200000000000003,45000
44,3,0,24,15,16,0.9200000000000003,45000
45,3,0,29,6,10,0.9200000000000003,45000
46,3,0,29,6,10,0.9200000000000003,45000
