,发车号,if_loaded,SKU长度,SKU宽度,SKU高度,load_parameter,车辆总容积(m3)
0,0,0,31,13,15,0.7400000000000001,45000
1,0,0,29,8,9,0.7400000000000001,45000
2,0,0,20,9,11,0.7400000000000001,45000
3,0,0,34,14,17,0.7400000000000001,45000
4,0,0,27,10,15,0.7400000000000001,45000
5,0,0,32,12,10,0.7400000000000001,45000
6,0,0,20,12,9,0.7400000000000001,45000
7,0,0,24,11,15,0.7400000000000001,45000
8,1,0,27,10,7,0.62,45000
9,1,0,30,5,14,0.62,45000
10,1,0,27,10,7,0.62,45000
11,1,0,34,11,15,0.62,45000
12,1,0,36,10,7,0.62,45000
13,1,0,34,11,15,0.62,45000
14,1,0,13,12,12,0.62,45000
15,1,0,19,14,13,0.62,45000
16,1,0,15,10,18,0.62,45000
17,2,0,28,7,8,1.0000000000000004,45000
18,2,0,26,13,7,1.0000000000000004,45000
19,2,0,14,5,13,1.0000000000000004,45000
20,2,0,34,8,15,1.0000000000000004,45000
21,2,0,30,12,11,1.0000000000000004,45000
22,2,0,31,12,11,1.0000000000000004,45000
23,2,0,13,8,17,1.0000000000000004,45000
24,2,0,30,13,6,1.0000000000000004,45000
25,2,0,35,11,7,1.0000000000000004,45000
26,2,0,14,11,16,1.0000000000000004,45000
27,2,0,34,9,18,1.0000000000000004,45000
28,2,0,35,13,18,1.0000000000000004,45000
29,2,0,33,5,18,1.0000000000000004,45000
30,3,0,16,5,11,0.7900000000000001,45000
31,3,0,16,7,12,0.7900000000000001,45000
32,3,0,26,11,9,0.7900000000000001,45000
33,3,0,29,10,17,0.7900000000000001,45000
34,3,0,12,8,7,0.7900000000000001,45000
35,3,0,12,8,7,0.7900000000000001,45000
36,3,0,36,11,14,0.7900000000000001,45000
37,3,0,36,13,9,0.7900000000000001,45000
38,3,0,13,13,8,0.7900000000000001,45000
39,3,0,23,7,12,0.7900000000000001,45000
40,3,0,26,13,18,0.7900000000000001,45000
41,3,0,23,7,12,0.7900000000000001,45000
42,3,0,16,9,16,0.7900000000000001,45000
43,4,0,19,13,9,0.7200000000000001,45000
44,4,0,32,13,6,0.7200000000000001,45000
45,4,0,27,15,17,0.7200000000000001,45000
46,4,0,32,14,13,0.7200000000000001,45000
47,4,0,13,14,12,0.7200000000000001,45000
48,4,0,32,13,11,0.7200000000000001,45000
49,4,0,21,9,8,0.7200000000000001,45000
50,4,0,21,9,8,0.7200000000000001,45000
51,4,0,36,15,9,0.7200000000000001,45000
52,5,0,15,7,11,1.0000000000000004,45000
53,5,0,30,11,12,1.0000000000000004,45000
54,5,0,21,15,16,1.0000000000000004,45000
55,5,0,12,9,8,1.0000000000000004,45000
56,5,0,28,15,14,1.0000000000000004,45000
57,5,0,13,15,9,1.0000000000000004,45000
58,5,0,30,15,7,1.0000000000000004,45000
59,5,0,20,13,11,1.0000000000000004,45000
60,5,0,25,7,18,1.0000000000000004,45000
61,5,0,29,14,11,1.0000000000000004,45000
62,5,0,28,15,14,1.0000000000000004,45000
63,5,0,27,13,14,1.0000000000000004,45000
64,6,0,25,13,12,0.62,45000
65,6,0,19,5,13,0.62,45000
66,6,0,21,9,16,0.62,45000
67,6,0,23,12,15,0.62,45000
68,6,0,36,9,12,0.62,45000
69,6,0,25,13,12,0.62,45000
70,6,0,27,8,8,0.62,45000
71,6,0,12,8,11,0.62,45000
72,6,0,23,12,15,0.62,45000
73,7,0,35,8,9,0.8900000000000002,45000
74,7,0,22,12,17,0.8900000000000002,45000
75,7,0,14,8,7,0.8900000000000002,45000
76,7,0,31,7,12,0.8900000000000002,45000
77,7,0,17,7,10,0.8900000000000002,45000
78,7,0,19,12,15,0.8900000000000002,45000
79,7,0,12,7,6,0.8900000000000002,45000
80,7,0,12,7,6,0.8900000000000002,45000
81,7,0,14,12,11,0.8900000000000002,45000
82,7,0,19,12,15,0.8900000000000002,45000
83,7,0,13,9,13,0.8900000000000002,45000
84,7,0,33,12,18,0.8900000000000002,45000
85,7,0,30,12,16,0.8900000000000002,45000
86,7,0,23,12,10,0.8900000000000002,45000
87,7,0,12,7,6,0.8900000000000002,45000
88,8,0,19,13,11,0.9300000000000003,45000
89,8,0,16,7,12,0.9300000000000003,45000
90,8,0,31,8,10,0.9300000000000003,45000
91,8,0,26,8,13,0.9300000000000003,45000
92,8,0,14,9,8,0.9300000000000003,45000
93,8,0,23,10,15,0.9300000000000003,45000
94,8,0,26,8,13,0.9300000000000003,45000
95,8,0,29,13,9,0.9300000000000003,45000
96,8,0,23,10,15,0.9300000000000003,45000
97,8,0,23,13,10,0.9300000000000003,45000
98,8,0,13,7,16,0.9300000000000003,45000
99,8,0,23,14,15,0.9300000000000003,45000
100,8,0,14,6,17,0.9300000000000003,45000
101,8,0,16,6,18,0.9300000000000003,45000
102,8,0,23,5,11,0.9300000000000003,45000
103,8,0,22,15,14,0.9300000000000003,45000
104,9,0,25,7,16,0.8700000000000002,45000
105,9,0,29,14,8,0.8700000000000002,45000
106,9,0,36,5,10,0.8700000000000002,45000
107,9,0,21,15,18,0.8700000000000002,45000
108,9,0,22,6,11,0.8700000000000002,45000
109,9,0,36,15,15,0.8700000000000002,45000
110,9,0,26,5,8,0.8700000000000002,45000
111,9,0,26,7,11,0.8700000000000002,45000
